Game_ID,Date,Season,Opponent,Home_Away_Neutral,Game_Type,Location,Davidson_Record_After,Opponent_Record_After,Davidson_Final_Points,Opponent_Final_Points,Result,Point_Differential,Overtime,Overtime_Periods,Davidson_First_Half_Points,Opponent_First_Half_Points,Davidson_Second_Half_Points,Opponent_Second_Half_Points,Halftime_Leader,Halftime_Margin,Second_Half_Differential,Comeback_Win,Blew_Halftime_Lead,Game_Flow_Tag,Davidson_FG_Made,Davidson_FG_Attempted,Davidson_FG_Percentage,Opponent_FG_Made,Opponent_FG_Attempted,Opponent_FG_Percentage,Davidson_3PT_Made,Davidson_3PT_Attempted,Davidson_3PT_Percentage,Opponent_3PT_Made,Opponent_3PT_Attempted,Opponent_3PT_Percentage,Davidson_FT_Made,Davidson_FT_Attempted,Davidson_FT_Percentage,Opponent_FT_Made,Opponent_FT_Attempted,Opponent_FT_Percentage,Davidson_Rebounds,Opponent_Rebounds,Rebound_Differential,Davidson_Offensive_Rebounds,Opponent_Offensive_Rebounds,Davidson_Defensive_Rebounds,Opponent_Defensive_Rebounds,Davidson_Assists,Opponent_Assists,Davidson_Turnovers,Opponent_Turnovers,Turnover_Differential,Davidson_Steals,Opponent_Steals,Davidson_Blocks,Opponent_Blocks,Davidson_Bench_Points,Opponent_Bench_Points,Bench_Point_Differential,Davidson_Points_In_Paint,Opponent_Points_In_Paint,Davidson_Points_Off_Turnovers,Opponent_Points_Off_Turnovers,Davidson_Second_Chance_Points,Opponent_Second_Chance_Points,Davidson_Fast_Break_Points,Opponent_Fast_Break_Points,Lead_Changes,Times_Tied,Davidson_Largest_Lead,Opponent_Largest_Lead,Game_Winning_Shot,Clutch_Game,Davidson_Technical_Fouls,Opponent_Technical_Fouls,Total_Technical_Fouls,Davidson_Flagrant_Fouls,Opponent_Flagrant_Fouls,Total_Flagrant_Fouls,Top_Scorer_Davidson,Top_Scorer_Davidson_Points,Top_Scorer_Davidson_Rebounds,Top_Scorer_Davidson_Assists,Top_Scorer_Davidson_Minutes,Second_Key_Player_Davidson,Second_Key_Player_Davidson_Statline,Third_Key_Player_Davidson,Third_Key_Player_Davidson_Statline,Top_Scorer_Opponent,Top_Scorer_Opponent_Points,Top_Scorer_Opponent_Rebounds,Top_Scorer_Opponent_Assists,Top_Scorer_Opponent_Minutes,Double_Doubles_Davidson,Triple_Doubles_Davidson,Double_Doubles_Opponent,Triple_Doubles_Opponent
20231202041240-2337657,12/02/23,2023-24,Wright St.,Home,Regular Season,"Belk Arena, Davidson, NC",6-3,3-6,82,73,W,9,No,0,43,39,39,34,Davidson,4,5,0,0,Controlled win,30,52,57.7,31,62,50.0,11,30,36.7,4,10,40.0,11,19,57.9,7,11,63.6,31,26,5,8,9,23,17,15,9,13,8,5,4,8,4,0,17,12,5,38,40,8,11,7,10,6,5,11,6,0 0,0 0,,0,0,0,0,0,0,0,"Huffman,Grant",20,5,7,35,"Skogman,David","19 pts, 5 reb, 0 ast","Bailey,Reed","14 pts, 8 reb, 4 ast","Calvin,Trey",17,1,3,35,0,0,0,0
20231221081325-2339850,12/21/23,2023-24,USC Upstate,Home,Regular Season,"Belk Arena, Davidson, NC",10-3,4-9,62,59,W,3,No,0,33,27,29,32,Davidson,6,-3,0,0,Close win,21,51,41.2,22,54,40.7,6,25,24.0,9,28,32.1,14,20,70.0,6,12,50.0,34,33,1,9,9,25,24,10,13,8,7,1,4,4,1,3,15,16,-1,28,22,9,10,7,11,6,7,2,4,0 0,0 0,,1,0,0,0,0,0,0,"Huffman,Grant",14,4,5,38,"Durkin,Bobby","11 pts, 8 reb, 0 ast","Kochera,Connor","10 pts, 6 reb, 0 ast","Rideau Jr.,Floyd",14,4,0,32,0,0,0,0
20231230031829-2340214,12/30/23,2023-24,Ohio,Neutral,Regular Season,"Rocket Mortgage FieldHouse, Cleveland, OH",11-3,6-7,72,69,W,3,No,0,33,40,39,29,Opponent,7,10,1,0,Comeback win,22,55,40.0,23,59,39.0,6,25,24.0,7,20,35.0,22,36,61.1,16,27,59.3,45,39,6,14,10,31,29,11,14,16,15,1,10,6,5,6,22,18,4,28,30,19,18,7,11,12,11,11,6,0 0,0 0,,1,0,0,0,0,0,0,"Bailey,Reed",15,6,3,26,"Huffman,Grant","15 pts, 6 reb, 2 ast","Kochera,Connor","14 pts, 7 reb, 2 ast","Clayton,AJ",13,6,0,27,0,0,0,0
20240103082733-2340701,01/03/24,2023-24,Dayton,Home,Regular Season,"Belk Arena, Davidson, NC",10-5,12-2,59,72,L,-13,No,0,21,36,38,36,Opponent,15,2,0,0,Controlled loss,21,54,38.9,26,52,50.0,10,30,33.3,7,21,33.3,7,11,63.6,13,22,59.1,29,36,-7,7,8,22,28,15,11,15,12,3,4,12,2,2,34,15,19,22,32,7,18,7,12,13,16,0,0,0 0,0 0,,0,0,0,0,0,0,0,"Durkin,Bobby",14,6,1,33,"Huffman,Grant","8 pts, 3 reb, 5 ast","Spadone,Achile","8 pts, 3 reb, 2 ast","Holmes II,DaRon",18,4,1,33,0,0,0,0
20240117111941-2342006,01/13/24,2023-24,George Washington,Away,Regular Season,"Charles E. Smith Center, Washington, DC",10-7,14-3,79,83,L,-4,Yes,1,44,39,31,36,Davidson,5,-5,0,1,Overtime thriller,31,65,47.7,31,66,47.0,8,25,32.0,13,29,44.8,9,19,47.4,8,20,40.0,42,38,4,13,12,29,26,11,15,14,14,0,6,7,3,4,16,12,4,46,34,14,13,13,7,14,9,16,6,0 0,0 0,,1,0,0,0,0,0,0,"Huffman,Grant",24,7,5,41,"Kochera,Connor","14 pts, 5 reb, 1 ast","Skogman,David","12 pts, 5 reb, 0 ast","Johnson,Garrett",23,3,0,31,0,0,0,0
20240117091845-2342650,01/17/24,2023-24,Fordham,Away,Regular Season,"Rose Hill Gym, Bronx, NY",12-6,8-10,79,69,W,10,No,0,34,37,45,32,Opponent,3,13,1,0,Comeback win,23,57,40.4,23,66,34.8,6,12,50.0,7,27,25.9,27,34,79.4,16,19,84.2,40,44,-4,11,16,29,28,11,14,11,13,-2,9,10,5,8,6,34,-28,34,28,13,9,11,13,11,5,6,11,0 0,0 0,,0,0,0,0,0,0,0,"Bailey,Reed",24,12,2,34,"Huffman,Grant","24 pts, 5 reb, 3 ast","Kochera,Connor","18 pts, 4 reb, 2 ast","Richardson,Will",16,2,1,33,1,0,1,0
20240124110242-2343613,01/24/24,2023-24,Saint Louis,Away,Regular Season,"Chaifetz Arena, St. Louis, MO",13-7,8-12,84,61,W,23,No,0,28,31,56,30,Opponent,3,26,1,0,Blowout win,30,65,46.2,21,56,37.5,10,29,34.5,4,26,15.4,14,17,82.4,15,20,75.0,37,38,-1,7,8,30,30,14,10,3,12,-9,9,3,1,0,23,24,-1,40,34,21,0,9,10,20,7,5,4,0 0,0 0,,0,0,0,0,0,0,0,"Huffman,Grant",23,4,5,32,"Skogman,David","14 pts, 3 reb, 1 ast","Bailey,Reed","12 pts, 7 reb, 1 ast","Ezewiro,Bradley",20,6,0,23,0,0,0,0
20240207082106-2345643,02/07/24,2023-24,Duquesne,Away,Regular Season,"UPMC Cooper Fieldhouse, Pittsburgh, PA",14-9,13-10,72,59,W,13,No,0,35,25,37,34,Davidson,10,3,0,0,Controlled win,23,53,43.4,21,52,40.4,8,26,30.8,5,19,26.3,18,20,90.0,12,20,60.0,37,31,6,9,8,28,23,16,7,8,9,-1,6,6,5,4,16,33,-17,28,24,9,15,12,7,11,14,3,3,0 0,0 0,,0,0,0,0,0,0,0,"Kochera,Connor",19,6,0,31,"Huffman,Grant","18 pts, 6 reb, 5 ast","Durkin,Bobby","11 pts, 3 reb, 6 ast","Drame,Fousseyni",15,5,0,29,0,0,0,0
20240210035930-2346197,02/10/24,2023-24,George Mason,Home,Regular Season,"Belk Arena, Davidson, NC",13-11,17-8,55,57,L,-2,No,0,25,26,30,31,Opponent,1,-1,0,0,Close loss,18,52,34.6,19,46,41.3,7,27,25.9,6,16,37.5,12,13,92.3,13,18,72.2,28,38,-10,9,12,19,26,11,8,10,17,-7,7,4,4,2,4,26,-22,16,16,15,11,9,12,2,3,9,8,0 0,0 0,,1,0,0,0,0,0,0,"Bailey,Reed",22,6,0,30,"Kochera,Connor","12 pts, 2 reb, 1 ast","Durkin,Bobby","11 pts, 3 reb, 1 ast","Hall,Keyshawn",25,6,0,27,0,0,0,0
20240214112348-2346576,02/13/24,2023-24,La Salle,Home,Regular Season,"Belk Arena, Davidson, NC",15-10,11-15,71,56,W,15,No,0,28,20,43,36,Davidson,8,7,0,0,Controlled win,27,65,41.5,22,59,37.3,4,19,21.1,4,19,21.1,13,18,72.2,8,12,66.7,43,36,7,12,8,31,28,11,7,7,12,-5,10,3,8,2,7,12,-5,44,26,15,3,14,15,8,5,0,1,0 0,0 0,,0,0,0,0,0,0,0,"Bailey,Reed",22,12,1,34,"Kochera,Connor","15 pts, 6 reb, 0 ast","Durkin,Bobby","10 pts, 7 reb, 2 ast","Brantley,Khalil",16,5,3,40,1,0,0,0
