
Sentence_ID,Role,Paragraph_Position,Outcome_Type,Game_Flow_Type,Player_Type,Team_Type,Narrative_Strategy,Trigger_Logic,Required_Fields,Template,Tone,Priority,Notes
OPEN_WIN_COMEBACK_001,Opening,P1_S1,Win,Comeback,Any,Any,Win_Positive,Result == W AND Comeback_Win == 1,"Opponent,Davidson_Final_Points,Opponent_Final_Points",Davidson overcame early struggles to defeat [OPPONENT] [SCORE].,Positive,1,Use when Davidson trailed at halftime but won.
OPEN_WIN_COMEBACK_002,Opening,P1_S1,Win,Comeback,Any,Any,Win_Positive,Result == W AND Halftime_Leader == Opponent,Opponent,A strong second-half response lifted Davidson past [OPPONENT].,Positive,1,
OPEN_WIN_CLOSE_001,Opening,P1_S1,Win_Close,Late_Composure,Any,Any,Win_Positive,Result == W AND Point_Differential BETWEEN 1 AND 8,Opponent,Davidson held off a late push from [OPPONENT] to secure the win.,Positive,1,
OPEN_WIN_CLOSE_002,Opening,P1_S1,Win_Close,Back_and_Forth,Any,Any,Win_Positive,Result == W AND Point_Differential BETWEEN 1 AND 8 AND Lead_Changes >= 4,"Opponent,Davidson_Final_Points,Opponent_Final_Points","Davidson came through in a tightly contested matchup against [OPPONENT], winning [SCORE].",Positive,1,
OPEN_WIN_BLOWOUT_001,Opening,P1_S1,Win_Blowout,Early_Dominance,Any,Any,Win_Positive,Result == W AND Point_Differential >= 15 AND Halftime_Leader == Davidson,Opponent,Davidson came out strong and never looked back against [OPPONENT].,Positive,1,
OPEN_WIN_BLOWOUT_002,Opening,P1_S1,Win_Blowout,Early_Dominance,Any,Any,Win_Positive,Result == W AND Point_Differential >= 20,"Opponent,Davidson_Final_Points,Opponent_Final_Points","Davidson controlled the game from the start, finishing with a [SCORE] win over [OPPONENT].",Positive,1,
OPEN_WIN_BLOWOUT_003,Opening,P1_S1,Win_Blowout,Dominant,Any,Any,Win_Positive,Result == W AND Point_Differential >= 15,Opponent,Davidson proved too much for [OPPONENT] to handle.,Positive,2,
OPEN_WIN_STANDARD_001,Opening,P1_S1,Win_Controlled,Any,Any,Any,Win_Positive,Result == W,"Opponent,Davidson_Final_Points,Opponent_Final_Points",Davidson secured a strong victory over [OPPONENT] with a final score of [SCORE].,Positive,3,
OPEN_WIN_STANDARD_002,Opening,P1_S1,Win_Controlled,Any,Any,Any,Win_Positive,Result == W,Opponent,Davidson took advantage of key moments to defeat [OPPONENT].,Positive,3,
OPEN_WIN_DEPTH_001,Opening,P1_S1,Win,Any,Any,Bench_Strength,Win_Positive,Result == W AND Davidson_Bench_Points >= 20,Opponent,Davidson showcased its depth in a win over [OPPONENT].,Positive,2,
OPEN_WIN_BALANCED_001,Opening,P1_S1,Win,Any,Balanced_Contribution,Any,Win_Positive,Result == W AND Top_Scorer_Davidson_Points < 20 AND Davidson_Assists >= 15,Opponent,Davidson used a balanced attack to overcome [OPPONENT].,Positive,2,
